,City,Country,Temp,Humidity,Lat,Long,Cloud,Wind,Date
374,Tirumullaivāsal,IN,83.75,66,11.23,79.83,96,8.14,1592436025
375,Ocós,GT,89.6,79,14.51,-92.19,40,6.93,1592436025
376,Yuzhno-Kurilsk,RU,52.65,93,44.03,145.86,100,5.95,1592436025
377,Aswān,EG,84.76,14,24.09,32.91,0,4.59,1592436025
378,Bambanglipuro,ID,76.91,88,-7.95,110.28,19,7.07,1592435758
379,Verkhnyaya Inta,RU,37.09,80,65.98,60.31,96,15.26,1592436025
380,Horsham,GB,61.0,82,51.06,-0.33,100,1.12,1592436025
381,São Miguel do Araguaia,BR,73.02,53,-13.28,-50.16,0,5.01,1592436025
382,Nhulunbuy,AU,80.6,74,-12.23,136.77,40,12.75,1592435727
383,Oranjestad,AW,82.4,78,12.52,-70.03,20,19.46,1592436026
384,Dubbo,AU,53.6,81,-32.25,148.62,0,11.41,1592436026
385,Kurumkan,RU,57.25,54,54.3,110.3,0,1.7,1592436026
386,Ust-Tsilma,RU,34.7,85,65.44,52.15,47,4.54,1592436026
387,Matara,LK,79.16,91,5.95,80.54,77,6.89,1592436026
388,Hambantota,LK,80.35,85,6.12,81.12,78,13.31,1592435762
389,Saint George,US,91.0,15,37.1,-113.58,1,10.29,1592436026
390,Alofi,NU,77.0,61,-19.06,-169.92,75,19.46,1592436026
391,Constitución,CL,53.31,87,-35.33,-72.42,86,14.56,1592435835
392,Yvetot,FR,55.99,100,49.62,0.76,57,3.36,1592436027
393,Clyde River,CA,33.8,82,70.47,-68.59,90,3.36,1592435827
394,Bichura,RU,59.45,52,50.59,107.6,1,2.84,1592436027
395,Lowestoft,GB,57.0,99,52.48,1.75,100,5.01,1592436027
396,Yibin,CN,72.93,81,28.77,104.62,98,2.24,1592436027
397,Martaban,MM,75.2,96,16.53,97.61,100,5.21,1592436027
398,Margaride,PT,57.99,86,41.37,-8.2,3,1.03,1592436027
399,Tiarei,PF,84.2,70,-17.53,-149.33,75,6.93,1592435816
400,Gamba,GA,72.05,92,-2.65,10.0,100,2.82,1592436027
401,Inuvik,CA,68.0,52,68.35,-133.72,75,4.7,1592435959
402,Sitka,US,55.4,71,57.05,-135.33,90,4.7,1592435814
403,Mâncio Lima,BR,79.9,68,-7.61,-72.9,84,1.45,1592436027
404,Waipawa,NZ,51.8,93,-41.41,175.52,100,21.92,1592435879
405,Fairbanks,US,75.99,33,64.84,-147.72,1,6.93,1592436027
406,Isabela,PH,78.8,94,6.71,121.97,75,1.12,1592436027
407,Saldanha,ZA,50.0,71,-33.01,17.94,13,3.36,1592435822
408,Nantucket,US,62.6,82,41.28,-70.1,1,8.05,1592435924
409,Amapá,BR,73.9,97,1.0,-52.0,100,0.81,1592436027
410,West Bay,KY,87.8,66,19.37,-81.42,20,4.7,1592435872
411,Vrangel',RU,56.37,90,42.73,133.08,76,11.63,1592436028
412,Rio Claro,BR,60.8,77,-22.41,-47.56,1,4.7,1592436028
413,Nuuk,GL,39.2,80,64.18,-51.72,75,2.24,1592435794
414,Uyemskiy,RU,41.0,93,64.47,40.85,0,1.7,1592436028
415,Alice Springs,AU,44.6,45,-23.7,133.88,0,3.36,1592436028
416,Novikovo,RU,63.45,79,51.15,37.89,0,8.46,1592436028
417,Barcelos,PT,59.0,82,41.54,-8.62,16,6.93,1592435746
418,Ponta Delgada,PT,62.6,82,37.73,-25.67,20,10.29,1592436028
419,Posse,BR,64.94,75,-14.09,-46.37,17,7.31,1592435850
420,Mahon,ES,68.0,82,39.89,4.27,0,5.82,1592436028
421,Pundaguitan,PH,82.58,75,6.37,126.17,100,8.12,1592436028
422,Ilulissat,GL,37.4,74,69.22,-51.1,60,6.93,1592435825
423,Poum,NC,74.52,70,-20.23,164.02,96,12.97,1592436028
424,Healdsburg,US,91.99,16,38.61,-122.87,1,11.41,1592436028
425,Coolum Beach,AU,69.01,78,-26.53,153.1,48,3.0,1592436029
426,Miyoshi City,JP,75.0,73,35.08,137.07,75,2.24,1592436029
427,Rawson,AR,53.33,50,-43.3,-65.1,100,8.79,1592436029
428,Auki,SB,85.08,66,-8.77,160.7,39,2.59,1592436029
429,Fjerritslev,DK,61.0,90,57.08,9.27,74,5.66,1592436029
430,Deputatsky,RU,75.11,29,69.3,139.9,0,9.15,1592435812
431,Gainesville,US,81.0,78,29.65,-82.32,75,1.25,1592435930
432,Sabang,ID,82.81,77,5.89,95.32,91,8.28,1592436029
433,Bonthe,SL,79.2,87,7.53,-12.51,74,6.85,1592436029
434,Noumea,NC,75.2,69,-22.28,166.46,90,2.24,1592435981
435,Quatre Cocos,MU,69.8,88,-20.21,57.76,75,18.34,1592435783
436,Thunder Bay,CA,82.4,39,48.4,-89.32,20,11.41,1592435757
437,Granada,ES,66.0,52,37.19,-3.61,0,2.24,1592436015
438,Acarí,PE,65.59,68,-15.43,-74.62,47,4.59,1592436030
439,Itaituba,BR,79.52,74,-4.28,-55.98,84,2.37,1592435944
440,Vostok,RU,46.9,100,46.49,135.88,100,0.94,1592436030
441,Uvira,CD,71.33,58,-3.41,29.15,19,1.21,1592436033
442,Vao,NC,72.7,80,-22.67,167.48,83,14.7,1592436033
443,Hervey Bay,AU,64.99,84,-25.3,152.85,1,5.99,1592436033
444,Amlapura,ID,80.6,100,-8.45,115.62,75,14.99,1592436033
445,Leh,IN,48.83,51,34.17,77.58,2,4.81,1592436033
446,Kapit,MY,74.79,95,2.02,112.93,78,0.85,1592435909
447,Sagamu,NG,77.0,94,6.84,3.65,75,2.24,1592436033
448,Canandaigua,US,79.0,36,42.87,-77.29,2,4.74,1592436033
449,Nanortalik,GL,38.52,78,60.14,-45.24,99,8.68,1592436033
450,Santa Isabel Rio Negro,BR,73.89,94,-0.41,-65.02,100,0.81,1592435794
451,Suoyarvi,RU,51.4,71,62.08,32.35,0,5.26,1592436033
452,Nara,JP,73.99,69,34.69,135.8,75,4.7,1592436033
453,Bogoslovka,RU,70.0,58,53.21,44.8,32,4.45,1592436033
454,Guiratinga,BR,70.12,69,-16.35,-53.76,9,6.44,1592436034
455,Beyşehir,TR,58.57,56,37.68,31.72,0,4.47,1592436034
456,Namatanai,PG,82.31,76,-3.67,152.43,69,9.35,1592436034
457,Grande Prairie,CA,60.8,72,55.17,-118.8,75,6.93,1592436034
458,Yuxia,CN,71.01,93,34.06,108.63,0,2.24,1592436034
459,Tagusao,PH,81.01,80,9.19,117.81,99,7.0,1592436034
460,Kaeo,NZ,61.0,3,-35.1,173.78,87,8.99,1592435891
461,Benguela,AO,70.77,72,-12.58,13.41,0,3.67,1592436034
462,Tshane,BW,48.51,58,-24.02,21.87,0,9.19,1592436034
463,Charters Towers,AU,66.76,79,-20.1,146.27,76,13.27,1592436034
464,Tiznit Province,MA,66.42,56,29.58,-9.5,17,2.98,1592436034
465,Koundara,GN,85.91,62,12.48,-13.3,1,10.71,1592436034
466,Lensk,RU,58.03,72,60.73,114.93,100,3.85,1592436035
467,Palu,ID,76.19,81,-0.89,119.87,100,3.42,1592436035
468,Lompoc,US,73.0,56,34.64,-120.46,2,11.41,1592435826
469,Zharkent,KZ,62.28,58,44.16,80.0,11,6.55,1592436035
470,Brezno,SK,62.6,93,48.8,19.64,75,2.24,1592436035
471,Hailey,US,60.8,38,43.52,-114.32,75,13.87,1592436035
472,Bella Union,UY,71.02,75,-30.28,-57.6,100,15.28,1592436035
473,Srednekolymsk,RU,84.2,26,67.45,153.68,1,8.5,1592435861
474,Aripuanã,BR,79.27,67,-9.17,-60.63,56,1.43,1592435881
475,Blagoyevo,RU,40.17,86,63.37,47.92,5,3.18,1592436036
476,Baykit,RU,55.87,61,61.67,96.37,97,3.11,1592435828
477,Kupang,ID,78.8,78,-10.17,123.58,20,13.87,1592436036
478,Jining,CN,65.53,87,35.41,116.58,100,8.41,1592435870
479,Altamira,BR,77.88,77,-3.2,-52.21,75,2.42,1592435968
480,Guerrero Negro,MX,73.06,53,27.98,-114.06,0,18.41,1592435881
481,Lata,PT,61.0,84,40.16,-8.33,0,2.73,1592436036
482,Mehamn,NO,46.87,72,71.04,27.85,8,6.53,1592436036
483,Onokhoy,RU,53.6,66,51.93,108.07,57,4.47,1592436036
484,Matsusaka,JP,73.0,83,34.57,136.53,75,3.36,1592436037
485,Mount Isa,AU,71.6,46,-20.73,139.5,0,10.29,1592436037
486,Qaqortoq,GL,42.8,80,60.72,-46.03,100,11.41,1592436037
487,San Cristobal,VE,89.6,46,7.77,-72.22,20,12.75,1592435761
488,San Policarpo,PH,82.92,79,12.18,125.51,100,5.03,1592436037
489,Mariehamn,AX,55.4,100,60.1,19.93,90,5.82,1592436037
490,Iquique,CL,62.6,77,-20.22,-70.14,44,13.87,1592435984
491,Barra do Garças,BR,72.97,63,-15.89,-52.26,42,3.09,1592436037
492,Province of Trapani,IT,66.0,93,37.83,12.67,20,4.7,1592435840
493,Verkhoyansk,RU,76.39,33,67.54,133.38,0,12.26,1592436037
494,Sangar,RU,69.19,50,63.92,127.47,0,11.41,1592436038
495,Maniitsoq,GL,37.54,79,65.42,-52.9,45,8.12,1592435842
496,Gunjur,GM,82.4,88,13.2,-16.73,40,10.29,1592436038
497,Shimoda,JP,64.99,91,34.67,138.95,100,1.01,1592435794
498,Suntar,RU,51.82,96,62.14,117.63,100,6.33,1592436038
499,Dunedin,NZ,46.99,65,-45.87,170.5,54,14.0,1592436038
500,Departamento de Maldonado,UY,69.01,72,-34.67,-54.92,90,17.22,1592436038
501,Taltal,CL,60.33,68,-25.4,-70.48,0,5.44,1592436038
502,Bonavista,CA,54.95,62,48.65,-53.11,100,18.25,1592435991
503,Necochea,AR,63.0,99,-38.55,-58.74,100,1.99,1592435813
504,Lamu,KE,77.5,81,-2.27,40.9,32,19.42,1592436038
505,Tura,IN,74.61,99,25.52,90.22,100,6.93,1592436038
506,Nānākuli,US,86.0,54,21.39,-158.15,75,5.82,1592436038
507,Karmaskaly,RU,53.6,87,54.37,56.18,75,8.95,1592436039
508,Yerbogachën,RU,58.82,55,61.28,108.01,0,2.93,1592436039
509,Crixás,BR,71.2,59,-14.55,-49.97,0,7.85,1592436039
510,Haapsalu,EE,55.99,91,58.94,23.54,12,1.99,1592436039
511,Kodinsk,RU,54.0,56,58.69,99.18,59,3.06,1592436039
512,Newport,GB,57.99,96,51.59,-3.0,100,1.97,1592436025
513,Anadyr,RU,69.8,49,64.75,177.48,20,2.24,1592436039
514,Atasū,KZ,51.01,73,48.68,71.64,8,8.21,1592436039
515,Saint-Leu,RE,66.2,88,-21.15,55.28,40,10.29,1592435911
516,Plettenberg Bay,ZA,61.3,43,-34.05,23.37,0,7.54,1592436039
517,Taoudenni,ML,100.24,8,22.68,-3.98,0,11.27,1592436039
518,Berlevåg,NO,47.37,72,70.86,29.09,18,6.26,1592436039
519,Bull Savanna,JM,80.51,76,17.89,-77.59,100,8.46,1592436039
520,Çerkezköy,TR,66.2,93,41.28,28.0,89,6.93,1592436039
521,Kirakira,SB,84.09,73,-10.45,161.92,20,7.29,1592435878
522,Sindor,RU,37.94,89,62.86,51.89,28,4.0,1592436039
523,Andapa,MG,58.96,87,-14.65,49.65,24,3.42,1592436040
524,Turukhansk,RU,42.57,93,65.82,87.98,100,10.56,1592436040
525,Cabinuangan,PH,78.15,83,7.68,126.03,100,1.21,1592436040
526,Quthing,LS,39.04,66,-30.4,27.7,100,2.51,1592436040
527,Manjakandriana,MG,51.8,76,-18.92,47.8,75,13.87,1592436040
528,Sibolga,ID,76.1,81,1.74,98.78,88,3.27,1592436040
529,Tecate,MX,78.8,29,32.57,-116.63,0,13.87,1592436040
530,Ekibastuz,KZ,58.57,45,51.67,75.37,7,10.38,1592436040
531,Sawtell,AU,62.6,82,-30.38,153.1,90,12.75,1592436007
532,Grand Island,US,93.2,36,40.92,-98.34,1,25.28,1592435899
533,Tanete,ID,77.23,85,-3.94,119.78,96,12.3,1592436040
534,Chancay,PE,64.4,77,-11.57,-77.27,90,9.17,1592436040
535,Airai,TL,58.91,100,-8.93,125.41,56,5.35,1592436040
536,Adjuntas,PR,82.99,74,18.16,-66.8,76,4.0,1592436040
537,Roald,NO,59.0,93,62.58,6.13,32,8.05,1592436040
538,Cyangugu,RW,57.4,86,-2.48,28.91,25,1.39,1592436041
539,Orikum,AL,69.19,74,40.33,19.47,11,5.86,1592436041
540,Ganzhou,CN,79.92,83,28.82,115.43,99,8.03,1592436041
541,Marabu,MY,78.8,100,4.41,114.01,75,3.36,1592436041
542,Bujaru,BR,77.0,94,-1.51,-48.04,75,4.7,1592436041
543,Gurupi,BR,73.44,57,-11.73,-49.07,0,3.67,1592436041
544,Harper,LR,77.52,84,4.38,-7.72,73,11.61,1592436041
545,Touros,BR,75.2,88,-5.2,-35.46,20,5.82,1592435752
